Design Name,Backend Phase,Corner1,Power1,Corner2,Power2,Corner3,Power3
VexiiRiscv_589,route,Fast,2330600.0,Slow,1111300.0,Typical,1604100.0
VexiiRiscv_589,floorplan,Fast,69968000.0,Slow,46283000.0,Typical,57354000.0
VexiiRiscv_645,cts,Fast,3484600.0,Slow,1337200.0,Typical,2232900.0
VexiiRiscv_645,placement,Fast,70834000.0,Slow,47988000.0,Typical,57834000.0
VexiiRiscv_645,chipfinish,Fast,3853100.0,Slow,1446500.0,Typical,2462400.0
VexiiRiscv_645,route,Fast,3851500.0,Slow,1446100.0,Typical,2461500.0
VexiiRiscv_645,floorplan,Fast,470930000.0,Slow,114510000.0,Typical,211500000.0
VexiiRiscv_681,cts,Fast,26556000.0,Slow,9336900.0,Typical,16457000.0
VexiiRiscv_681,placement,Fast,89207000.0,Slow,57931000.0,Typical,68038000.0
VexiiRiscv_681,chipfinish,Fast,28482000.0,Slow,10206000.0,Typical,18088000.0
VexiiRiscv_681,route,Fast,28473000.0,Slow,10204000.0,Typical,18083000.0
VexiiRiscv_681,floorplan,Fast,5652900000.0,Slow,87656000.0,Typical,1393700000.0
VexiiRiscv_351,cts,Fast,20691000.0,Slow,6625900.0,Typical,12843000.0
VexiiRiscv_351,placement,Fast,83028000.0,Slow,55814000.0,Typical,64289000.0
VexiiRiscv_351,chipfinish,Fast,23945000.0,Slow,7469100.0,Typical,14778000.0
VexiiRiscv_351,route,Fast,23937000.0,Slow,7467300.0,Typical,14774000.0
VexiiRiscv_351,floorplan,Fast,10548000000.0,Slow,51649000.0,Typical,2500900000.0
VexiiRiscv_745,cts,Fast,746670.0,Slow,370020.0,Typical,497700.0
VexiiRiscv_745,placement,Fast,68567000.0,Slow,46628000.0,Typical,56593000.0
VexiiRiscv_745,chipfinish,Fast,751590.0,Slow,374810.0,Typical,504610.0
VexiiRiscv_745,route,Fast,751440.0,Slow,374750.0,Typical,504520.0
VexiiRiscv_745,floorplan,Fast,68552000.0,Slow,45847000.0,Typical,56581000.0
VexiiRiscv_274,cts,Fast,4626000.0,Slow,1400800.0,Typical,2854200.0
VexiiRiscv_274,placement,Fast,70798000.0,Slow,48339000.0,Typical,57688000.0
VexiiRiscv_274,chipfinish,Fast,5536900.0,Slow,1608200.0,Typical,3351500.0
VexiiRiscv_274,route,Fast,5535600.0,Slow,1607900.0,Typical,3350800.0
VexiiRiscv_274,floorplan,Fast,71304000.0,Slow,46145000.0,Typical,57813000.0
VexiiRiscv_595,cts,Fast,3216900.0,Slow,1414500.0,Typical,2169300.0
VexiiRiscv_595,placement,Fast,70815000.0,Slow,47992000.0,Typical,57832000.0
VexiiRiscv_595,chipfinish,Fast,3516700.0,Slow,1523300.0,Typical,2370000.0
VexiiRiscv_595,route,Fast,3515800.0,Slow,1523000.0,Typical,2369500.0
