File Path,Corner1,Power1,Corner2,Power2,Corner3,Power3
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_854_100/VexiiRiscv_854_100_build/rpt/route.report_power,Fast,1.0511e+07,Slow,3.8031e+06,Typical,6.5152e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_854_100/VexiiRiscv_854_100_build/rpt/floorplan.report_power,Fast,7.3754e+07,Slow,4.7806e+07,Typical,5.9827e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_416_100/VexiiRiscv_416_100_build/rpt/cts.report_power,Fast,5.6124e+06,Slow,1.8486e+06,Typical,3.4857e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_416_100/VexiiRiscv_416_100_build/rpt/placement.report_power,Fast,7.1649e+07,Slow,4.8752e+07,Typical,5.8199e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_416_100/VexiiRiscv_416_100_build/rpt/chipfinish.report_power,Fast,6.4977e+06,Slow,2.0739e+06,Typical,3.9932e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_416_100/VexiiRiscv_416_100_build/rpt/route.report_power,Fast,6.4950e+06,Slow,2.0734e+06,Typical,3.9919e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_416_100/VexiiRiscv_416_100_build/rpt/floorplan.report_power,Fast,7.7395e+07,Slow,4.6396e+07,Typical,5.9461e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_79_100/VexiiRiscv_79_100_build/rpt/cts.report_power,Fast,1.0534e+07,Slow,3.3932e+06,Typical,6.5317e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_79_100/VexiiRiscv_79_100_build/rpt/placement.report_power,Fast,7.5471e+07,Slow,5.1068e+07,Typical,6.0246e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_79_100/VexiiRiscv_79_100_build/rpt/chipfinish.report_power,Fast,1.2176e+07,Slow,3.8141e+06,Typical,7.4908e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_79_100/VexiiRiscv_79_100_build/rpt/route.report_power,Fast,1.2173e+07,Slow,3.8134e+06,Typical,7.4893e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_79_100/VexiiRiscv_79_100_build/rpt/floorplan.report_power,Fast,5.6292e+09,Slow,8.1990e+07,Typical,1.3826e+09
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_654_100/VexiiRiscv_654_100_build/rpt/cts.report_power,Fast,6.8368e+05,Slow,3.7365e+05,Typical,4.9315e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_654_100/VexiiRiscv_654_100_build/rpt/placement.report_power,Fast,6.8563e+07,Slow,4.6634e+07,Typical,5.6586e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_654_100/VexiiRiscv_654_100_build/rpt/chipfinish.report_power,Fast,6.9486e+05,Slow,3.8038e+05,Typical,5.0277e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_654_100/VexiiRiscv_654_100_build/rpt/route.report_power,Fast,6.9468e+05,Slow,3.8032e+05,Typical,5.0267e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_654_100/VexiiRiscv_654_100_build/rpt/floorplan.report_power,Fast,6.8551e+07,Slow,4.5836e+07,Typical,5.6575e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_606_100/VexiiRiscv_606_100_build/rpt/cts.report_power,Fast,5.5210e+05,Slow,3.0584e+05,Typical,3.9802e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_606_100/VexiiRiscv_606_100_build/rpt/placement.report_power,Fast,6.8415e+07,Slow,4.6554e+07,Typical,5.6497e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_606_100/VexiiRiscv_606_100_build/rpt/chipfinish.report_power,Fast,5.5640e+05,Slow,3.0917e+05,Typical,4.0235e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_606_100/VexiiRiscv_606_100_build/rpt/route.report_power,Fast,5.5622e+05,Slow,3.0908e+05,Typical,4.0223e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_606_100/VexiiRiscv_606_100_build/rpt/floorplan.report_power,Fast,6.8403e+07,Slow,4.5782e+07,Typical,5.6488e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_175_100/VexiiRiscv_175_100_build/rpt/cts.report_power,Fast,5.0379e+06,Slow,2.0318e+06,Typical,3.2095e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_175_100/VexiiRiscv_175_100_build/rpt/placement.report_power,Fast,7.1906e+07,Slow,4.8586e+07,Typical,5.8505e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_175_100/VexiiRiscv_175_100_build/rpt/chipfinish.report_power,Fast,5.4355e+06,Slow,2.1690e+06,Typical,3.4743e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_175_100/VexiiRiscv_175_100_build/rpt/route.report_power,Fast,5.4342e+06,Slow,2.1687e+06,Typical,3.4737e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_175_100/VexiiRiscv_175_100_build/rpt/floorplan.report_power,Fast,7.3185e+07,Slow,4.6898e+07,Typical,5.8768e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_271_100/VexiiRiscv_271_100_build/rpt/cts.report_power,Fast,1.1572e+06,Slow,6.0307e+05,Typical,8.0460e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_271_100/VexiiRiscv_271_100_build/rpt/placement.report_power,Fast,6.8954e+07,Slow,4.6817e+07,Typical,5.6832e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_271_100/VexiiRiscv_271_100_build/rpt/chipfinish.report_power,Fast,1.1732e+06,Slow,6.1369e+05,Typical,8.1992e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_271_100/VexiiRiscv_271_100_build/rpt/route.report_power,Fast,1.1730e+06,Slow,6.1360e+05,Typical,8.1980e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_271_100/VexiiRiscv_271_100_build/rpt/floorplan.report_power,Fast,6.8945e+07,Slow,4.6017e+07,Typical,5.6821e+07
